indeks_igre,prvi_igralec,prvi_id,drugi_igralec,drugi_id,izid,stevilo_potez,leto,kraj,odprtje_neka_stevilka,odprtje
1846358,Joonas Naestema,156305,Ilgar Mustafayev,156348,1-0,15,2016,World Cadets U12</a>,B08,"Pirc, Classical"
1846480,Nelson Strehse,156590,Haji-Ali Gafarov,156531,1-0,15,2016,World Cadets U12</a>,B04,"Alekhine's Defense, Modern"
1846322,Prokhor Larichev,156330,Derek Clasby,156317,0-1,9,2016,World Cadets U12</a>,C67,Ruy Lopez
1846530,Aleyna Altinisik,156688,Mariam Saralidze,156671,0-1,11,2016,World Cadets U12</a>,B02,Alekhine's Defense
1845014,A Ushenina,76809,Mo Zhai,133523,1-0,2,2016,Chinese Chess League</a>,E00,Queen's Pawn Game
1846821,Bayar Ider,156570,Vasily Kobets,156551,1-0,11,2016,World Cadets U12</a>,A43,Old Benoni
1846592,Pasha Aslanov,156110,Meirzhan Zekenov,156134,1-0,13,2016,World Cadets U12</a>,C54,Giuoco Piano
1845008,Ding Yixin,112849,Zhou Guijue,51571,1-0,15,2016,Chinese Chess League</a>,C46,Three Knights
1846668,Radu-Fabian Dobre,156282,Alikhan Galymbek,156354,1-0,15,2016,World Cadets U12</a>,B13,"Caro-Kann, Exchange"
1846831,Alessandro Vargiu,156602,Tamaz Lominadze,156559,1-0,15,2016,World Cadets U12</a>,C53,Giuoco Piano
1846814,Hubert Zieba,156605,Karel Brozka,156557,0-1,12,2016,World Cadets U12</a>,A13,English
1846763,Darmaki Latifah,156374,Nare Meyroyan,156459,0-1,13,2016,World Cadets U12</a>,C50,Giuoco Piano
1846812,Menua Hakobyan,156526,Levan Chubinidze,156515,0-1,13,2016,World Cadets U12</a>,B43,"Sicilian, Kan, 5.Nc3"
1846700,Iraj Laturkar,156309,B Kienboeck,153977,0-1,14,2016,World Cadets U12</a>,C57,Two Knights
1846637,Al Wahabi Fatima,156189,Emilija Misiuk,156153,0-1,15,2016,World Cadets U12</a>,B22,"Sicilian, Alapin"
1846582,Jaehyeok An,156090,Raffi Ghazaryan,156040,0-1,15,2016,World Cadets U12</a>,B22,"Sicilian, Alapin"
1847498,E Christensen,60334,S Grigorian,139530,0-1,12,2016,European Club Cup</a>,B56,Sicilian
